prediction1,prediction2,prediction3,age,male,rank
81,72,64,45,1,1
80,70,40,39,1,1
98,96,78,52,1,1
60,78,50,37,1,3
93,86,61,65,1,1
15,20,87,52,1,1
40,49,33,45,1,2
100,100,100,48,1,1
79,71,51,55,,1
97,97,89,42,1,1
30,39,75,,1,3
92,71,50,36,1,1
80,46,25,49,1,5
75,75,75,50,0,1
94,94,82,42,1,1
95,95,90,68,1,1
100,100,100,62,0,1
75,51,25,35,1,3
14,22,69,63,1,1
100,100,90,70,1,1
96,99,97,61,1,1
3,56,100,43,1,2
51,62,74,55,1,1
80,70,40,41,1,5
71,71,41,55,1,1
74,67,49,30,1,3
93,84,75,48,0,3
93,95,93,46,1,2
81,65,45,62,1,1
63,76,89,36,1,3
65,50,85,57,1,1
68,60,79,30,1,5
46,38,22,55,1,1
50,70,80,53,1,1
81,71,52,55,1,2
60,51,30,44,1,1
80,85,60,54,1,1
75,85,95,49,1,1
76,92,76,49,1,1
25,50,75,44,1,2
55,37,62,36,1,3
70,63,80,58,1,1
70,63,50,46,0,2
90,70,49,61,1,1
30,61,49,40,1,2
94,96,98,48,1,1
40,50,61,64,0,1
94,83,63,46,1,2
62,60,58,56,1,1
91,87,85,68,1,1
81,90,51,51,1,1
81,87,77,35,1,2
95,95,75,40,0,2
71,72,69,48,1,1
78,75,71,36,1,3
80,80,80,75,1,1
32,32,44,56,1,1
25,46,76,52,1,1
95,85,75,56,1,1
91,91,92,55,1,1
80,75,50,62,0,1
87,85,64,31,1,3
50,60,40,74,1,1
97,93,80,51,1,1
85,86,100,44,0,1
100,100,92,45,1,1
91,77,55,79,1,1
60,71,82,68,1,1
95,90,60,69,1,4
92,92,71,48,1,2
71,70,45,58,0,1
64,36,77,35,1,3
90,90,90,67,1,1
81,57,16,67,0,1
9,40,83,65,1,1
71,83,60,58,1,1
85,94,99,53,1,1
50,30,15,49,1,1
81,76,62,61,0,1
70,70,40,61,1,1
88,91,92,54,1,1
100,60,75,53,1,1
50,35,20,73,1,1
82,48,76,42,1,3
97,97,90,68,1,1
13,23,40,58,1,1
85,85,85,55,1,1
42,23,76,58,1,1
84,89,92,60,1,1
16,31,76,,1,1
73,70,50,59,1,1
91,87,70,47,0,1
98,72,26,51,1,2
75,51,67,45,1,1
81,81,70,52,1,1
75,65,50,63,1,1
36,55,50,43,1,2
61,83,90,43,1,1
40,33,8,55,1,1
70,60,35,41,1,2
90,90,90,51,1,5
10,15,52,79,1,4
91,81,70,53,0,1
96,96,90,51,0,5
35,25,20,70,1,1
70,70,65,46,1,1
24,20,12,55,0,1
90,90,69,54,1,1
85,85,85,49,1,1
20,29,62,65,1,1
50,65,70,66,1,4
50,50,60,85,1,4
85,90,95,63,1,1
59,52,45,61,1,1
70,40,20,47,1,1
88,77,47,76,1,4
60,82,88,60,1,1
51,61,71,72,1,4
62,73,83,56,1,1
100,100,93,50,1,1
45,42,31,58,1,1
83,73,53,51,1,1
81,70,61,62,1,1
71,64,52,60,1,1
82,83,53,64,1,1
81,81,76,46,1,1
45,49,56,68,1,1
87,84,80,43,1,1
30,50,80,63,0,1
87,89,93,55,1,1
91,84,92,,1,1
95,90,70,55,1,5
18,30,33,34,1,3
81,60,40,62,1,1
60,39,18,66,1,5
81,70,80,52,0,1
20,40,85,44,1,1
88,88,75,51,1,1
10,30,67,48,0,1
92,80,45,76,1,1
60,71,82,39,1,5
80,80,70,51,1,1
89,81,50,51,1,1
31,51,64,71,1,4
91,90,88,61,1,1
67,54,42,41,0,2
68,56,81,43,1,1
81,31,0,82,1,1
72,72,72,53,1,2
93,85,75,54,1,1
9,50,75,57,1,1
100,100,100,57,1,1
100,100,97,75,1,1
93,88,77,57,1,1
95,92,82,61,1,1
91,70,51,43,0,1
80,80,80,84,1,4
75,71,67,38,1,2
20,70,30,44,1,1
70,100,60,61,1,1
40,82,60,35,0,1
60,51,20,71,1,4
91,91,90,63,1,1
98,95,90,49,1,1
42,55,68,63,1,1
83,90,85,57,1,1
82,69,55,54,1,1
92,93,93,99,0,1
91,63,30,60,1,1
81,82,93,42,1,1
0,20,94,46,1,1
94,82,73,67,1,4
33,50,67,53,1,1
90,83,64,43,1,1
61,74,74,39,1,1
71,60,30,51,1,1
92,92,92,57,1,1
91,50,100,33,1,3
40,40,20,42,1,1
90,90,75,65,1,5
85,83,75,63,1,1
31,35,39,72,1,1
81,81,75,52,1,2
90,90,80,50,1,1
95,90,80,42,1,2
81,50,40,65,1,4
51,44,40,49,1,1
92,82,51,46,1,1
90,80,70,58,1,1
90,50,70,44,1,1
21,33,89,56,1,1
85,78,54,43,1,1
95,88,73,56,1,1
45,67,42,70,1,5
50,70,90,64,0,1
66,75,55,50,1,1
40,50,60,64,1,1
80,75,70,66,1,1
91,93,50,60,1,1
60,70,81,61,1,1
34,49,89,53,1,1
85,91,95,61,1,1
96,95,97,56,1,1
95,47,64,38,1,3
40,45,90,62,1,1
70,70,80,57,1,1
95,90,80,24,0,5
100,100,83,57,0,1
84,85,91,59,1,1
75,80,50,50,1,1
71,74,85,58,1,1
70,71,71,68,0,1
11,54,89,52,1,1
90,70,50,40,1,2
82,81,77,43,1,3
66,66,55,63,1,1
70,50,22,,1,1
81,69,38,90,1,4
61,75,85,55,1,1
100,81,51,53,1,1
57,53,73,52,0,1
20,45,86,60,1,2
65,70,90,77,1,4
35,40,45,47,1,1
93,88,89,49,1,1
81,88,93,67,1,1
80,70,60,52,1,1
80,75,65,45,1,2
93,84,77,60,1,1
66,80,73,45,0,5
81,81,72,51,1,1
76,61,42,61,1,1
29,41,66,47,1,2
61,71,82,47,1,1
50,20,20,63,1,1
85,80,55,37,1,3
81,78,74,36,1,1
61,70,82,76,1,1
29,19,3,83,1,4
60,60,52,62,0,1
82,71,44,54,1,1
50,60,70,53,1,1
62,70,79,45,,1
92,56,19,48,1,2
91,89,78,58,1,1
93,86,62,43,1,5
9,20,41,74,1,1
90,90,75,58,1,1
83,62,39,57,1,1
90,89,76,68,1,4
90,82,38,57,1,1
80,88,97,46,1,1
92,96,96,54,1,1
61,78,91,73,1,5
80,80,72,70,1,1
90,90,90,63,0,2
91,92,96,45,0,1
90,90,90,51,1,1
19,63,40,57,1,1
50,50,50,48,1,2
100,94,30,44,1,2
78,58,35,43,1,2
30,75,100,59,1,1
19,19,19,36,0,1
45,53,77,61,1,1
80,80,85,50,1,1
10,10,50,44,0,5
70,68,51,42,1,2
65,65,20,48,1,1
100,97,92,69,1,4
62,71,31,54,0,2
20,70,30,42,1,2
1,15,95,71,1,4
51,65,80,52,1,1
72,80,100,50,1,2
71,81,88,65,1,1
20,15,10,46,1,1
95,90,80,75,1,4
85,80,70,63,1,1
